winery,wine_name,Note
E. Pira & Figli,Langhe Nebbiolo,
E. Pira & Figli,Langhe Nebbiolo,
Mirafiore,Langhe Nebbiolo,
Monchiero Carbone,Sire Langhe Nebbiolo,
Cavallotto,Langhe Nebbiolo,
Cavallotto,Langhe Nebbiolo,
La Spinetta,Langhe Nebbiolo,
La Spinetta,Langhe Nebbiolo,
Batasiolo,Langhe Nebbiolo,
Cascina delle Rose,Langhe Nebbiolo,
Voerzio Martini,Ciabot della Luna Langhe Nebbiolo,
Voerzio Alberto,Langhe Nebbiolo,
Elio Sandri,Langhe Nebbiolo,
Luigi Oddero,Langhe Nebbiolo,
Luigi Oddero,Langhe Nebbiolo,
Giulia Negri,Pian delle Mole Langhe Nebbiolo,
Raineri,Snart Langhe Nebbiolo,
Ruggeri Corsini,Langhe Nebbiolo,
Comm. G.B. Burlotto,Langhe Nebbiolo,
Sottimano,Langhe Nebbiolo,
Sottimano,Langhe Nebbiolo,
Cascina Massara - Burlotto Gian Carlo,Langhe Nebbiolo,
Michele Chiarlo,Il Principe Langhe Nebbiolo,
Fratelli Alessandria,Prinsiot Langhe Nebbiolo,
Mauro Veglio,Langhe Nebbiolo Angelo,
Marchesi di Barolo,Sbirolo Langhe Nebbiolo,
Paolo Scavino,Langhe Nebbiolo,
Enzo Boglietti,Langhe Nebbiolo,
Paolo Scavino,Langhe Nebbiolo,
Brezza,Langhe Nebbiolo,
Eugenio Bocchino,Roccabella Langhe Nebbiolo,
Trediberri,Langhe Nebbiolo,
Borgogno,Langhe Nebbiolo,
Col dei Venti,Lampio Langhe Nebbiolo,
Scarzello,Langhe Nebbiolo,
Elio Altare,Langhe Nebbiolo,
Cigliuti,Langhe Nebbiolo,
Fratelli Alessandria,Prinsiot Langhe Nebbiolo,
G.D. Vajra,Langhe Nebbiolo,
Elio Altare,Langhe Nebbiolo,
Barale Fratelli,Langhe Nebbiolo,
Erbaluna,Langhe Nebbiolo,
Rizzi,Langhe Nebbiolo,
M.A. Monticelli,Langhe Nebbiolo,
Fenocchio Renato,Spetacol Langhe Nebbiolo,
Rizzi,Langhe Nebbiolo,
Luigi Voghera,Langhe Nebbiolo,
Sottimano,Langhe Nebbiolo,
Enrico Serafino,Picotener Langhe Nebbiolo,
Giovanni Rosso,Langhe Nebbiolo,
Giovanni Rosso,Langhe Nebbiolo,
Rocche Costamagna,Roccardo Langhe Nebbiolo,
Rocche Costamagna,Roccardo Langhe Nebbiolo,
Pasquale Pelissero,Pasqualin Langhe Nebbiolo,
Cascina Chicco,Langhe Nebbiolo,
Manzone,Il Crutin Langhe Nebbiolo,
Seghesio,Langhe Nebbiolo,
De Forville,Langhe Nebbiolo,
De Forville,Langhe Nebbiolo,
Chiesa Carlo,Langhe Nebbiolo,
Musso,Langhe Nebbiolo,
Silvio Grasso,Langhe Nebbiolo,
Bricco Maiolica,Langhe Nebbiolo,
Cantina del Pino,Langhe Nebbiolo,
Negro Angelo,Angelin Langhe Nebbiolo,
La Ca' N?va,Langhe Nebbiolo,
Fratelli Revello,Langhe Nebbiolo,
Pecchenino,Botti Langhe Nebbiolo,
Pecchenino,Botti Langhe Nebbiolo,
Scarzello,Langhe Nebbiolo,
G.D. Vajra,Langhe Nebbiolo,
PAITIN,Langhe Nebbiolo,
Guidobono,Langhe Nebbiolo,
Negro Angelo,Angelin Langhe Nebbiolo,
Guidobono,Langhe Nebbiolo,
Piazzo,Langhe Nebbiolo,
Fontanafredda,Ebbio Langhe Nebbiolo,
Collina Serragrilli,Bail? Langhe Nebbiolo,
Bruno Rocca,Fral? Langhe Nebbiolo,
Mauro Molino,Langhe Nebbiolo,
Nino Costa,Langhe Nebbiolo,
Ca? del Baio,Langhe Nebbiolo,
Batasiolo,Langhe Nebbiolo,
Ca? del Baio,Bric del Baio Langhe Nebbiolo,
Marcarini,Lasarin Langhe Nebbiolo,
Tintero Elvio,Langhe Nebbiolo,
Nada Giuseppe,Langhe Nebbiolo,
Comm. G.B. Burlotto,Verduno Pelaverga,
Castello di Verduno,Basadone Pelaverga,
Castello di Verduno,Basadone Pelaverga,
Comm. G.B. Burlotto,Verduno Pelaverga,
Cascina Massara - Burlotto Gian Carlo,Verduno Pelaverga,
Cascina Massara - Burlotto Gian Carlo,Verduno Pelaverga,
Fratelli Alessandria,Speziale Verduno Pelaverga,
Fratelli Alessandria,Speziale Verduno Pelaverga,
